Date/Time,Year,Month,Day,Time,Data Quality,Temp,Temp Flag,Dew Point Temp,Dew Point Temp Flag,Rel Hum,Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
01/01/2014 02:00,2014,1,1,02:00,**,-16,,-18.1,,84,,34,,9,,12.9,,99.79,,,,-22,,Snow Showers
01/01/2014 03:00,2014,1,1,03:00,**,-15.7,,-17.7,,85,,32,,9,,9.7,,99.87,,,,-22,,Snow Showers
01/01/2014 04:00,2014,1,1,04:00,**,-16.5,,-18.3,,86,,32,,7,,16.1,,99.91,,,,-22,,Snow Showers
01/01/2014 05:00,2014,1,1,05:00,**,-17,,-18.8,,86,,34,,7,,12.9,,99.94,,,,-22,,Snow Showers
01/01/2014 06:00,2014,1,1,06:00,**,-17.5,,-19.3,,86,,36,,13,,19.3,,99.92,,,,-25,,Snow Showers
01/01/2014 08:00,2014,1,1,08:00,**,-16.2,,-18.3,,84,,28,,12,,24.1,,100.1,,,,-23,,Mostly Cloudy
01/01/2014 11:00,2014,1,1,11:00,**,-12,,-15.3,,77,,27,,23,,24.1,,100.26,,,,-21,,Ice Crystals
01/01/2014 14:00,2014,1,1,14:00,**,-9.6,,-17.3,,54,,27,,29,,24.1,,100.23,,,,-19,,Mostly Cloudy
01/01/2014 17:00,2014,1,1,17:00,**,-11.6,,-15.4,,74,,28,,19,,24.1,,100.38,,,,-20,,Mainly Clear
01/01/2014 18:00,2014,1,1,18:00,**,-12.1,,-15.4,,77,,26,,14,,24.1,,100.42,,,,-19,,Snow Showers
01/01/2014 19:00,2014,1,1,19:00,**,-11.9,,-14.4,,82,,27,,15,,19.3,,100.48,,,,-19,,Snow Showers
01/01/2014 20:00,2014,1,1,20:00,**,-12.1,,-14.4,,83,,31,,12,,19.3,,100.54,,,,-18,,Snow Showers
01/01/2014 22:00,2014,1,1,22:00,**,-12.2,,-15.5,,77,,26,,14,,19.3,,100.58,,,,-19,,Snow Showers
01/01/2014 23:00,2014,1,1,23:00,**,-11.7,,-16.5,,68,,30,,25,,19.3,,100.63,,,,-21,,Snow Showers
02/01/2014 00:00,2014,1,2,00:00,**,-12.6,,-15.4,,80,,30,,17,,6.4,,100.67,,,,-20,,Snow Showers
02/01/2014 01:00,2014,1,2,01:00,**,-14,,-16.4,,82,,33,,21,,3.2,,100.68,,,,-23,,Snow Showers
02/01/2014 02:00,2014,1,2,02:00,**,-14.7,,-17.3,,81,,31,,23,,9.7,,100.77,,,,-24,,Snow Showers
02/01/2014 03:00,2014,1,2,03:00,**,-15.8,,-18.4,,81,,33,,23,,6.4,,100.83,,,,-26,,Snow Showers
